วันที่,รางวัลที่ 1,2 ตัวบน,3 ตัวบน,2 ตัวล่าง,3 ตัวหน้า,3 ตัวล่าง
พฤศจิกายน พ.ย. 2554,805540,40,540,54,771 380,065 221
ตุลาคม ต.ค. 2554,955756,56,756,83,991 057,329 507
ตุลาคม ต.ค. 2554,511052,52,052,15,957 104,189 499
กันยายน ก.ย. 2554,731198,98,198,28,384 645,812 589
กันยายน ก.ย. 2554,724533,33,533,85,847 021,533 821
สิงหาคม ส.ค. 2554,536960,60,960,62,814 345,074 005
สิงหาคม ส.ค. 2554,218756,56,756,12,703 583,660 221
กรกฎาคม ก.ค. 2554,116556,56,556,12,227 052,534 609
กรกฎาคม ก.ค. 2554,622953,53,953,51,390 160,780 463
มิถุนายน มิ.ย 2554,351276,76,276,88,486 167,162 582
มิถุนายน มิ.ย 2554,562370,70,370,46,656 346,801 556
พฤษภาคม พ.ค. 2554,406417,17,417,05,700 044,071 889
พฤษภาคม พ.ค. 2554,054136,36,136,85,421 945,133 524
เมษายน เม.ย. 2554,825988,88,988,44,263 213,397 593
เมษายน เม.ย. 2554,814931,31,931,01,723 584,040 036
มีนาคม มี.ค. 2554,593331,31,331,96,209 945,463 737
มีนาคม มี.ค. 2554,656037,37,037,97,544 357,926 396
กุมภาพันธ์ ก.พ. 2554,481746,46,746,27,535 510,384 388
กุมภาพันธ์ ก.พ. 2554,610089,89,089,55,596 361,121 432
มกราคม ม.ค. 2554,281062,62,062,23,227 185,758 546
ธันวาคม ธ.ค. 2553,884112,12,112,49,936 153,186 933
ธันวาคม ธ.ค. 2553,334380,80,380,24,529 315,533 306
ธันวาคม ธ.ค. 2553,181752,52,752,09,664 470,474 086
พฤศจิกายน พ.ย. 2553,813993,93,993,43,763 979,907 129
พฤศจิกายน พ.ย. 2553,191100,00,100,59,653 968,801 739
ตุลาคม ต.ค. 2553,621377,77,377,42,310 518,385 872
ตุลาคม ต.ค. 2553,488372,72,372,02,091 996,003 246
กันยายน ก.ย. 2553,017422,22,422,66,103 316,431 075
กันยายน ก.ย. 2553,354656,56,656,11,784 570,656 096
สิงหาคม ส.ค. 2553,911097,97,097,64,986 578,448 689
สิงหาคม ส.ค. 2553,210008,08,008,10,769 182,727 191
กรกฎาคม ก.ค. 2553,180387,87,387,34,309 219,572 024
กรกฎาคม ก.ค. 2553,480239,39,239,68,893 450,918 961
มิถุนายน มิ.ย 2553,500104,04,104,73,200 628,681 816
มิถุนายน มิ.ย 2553,444874,74,874,81,374 298,996 673
พฤษภาคม พ.ค. 2553,480012,12,012,12,293 151,770 008
พฤษภาคม พ.ค. 2553,360371,71,371,06,382 040,517 618
เมษายน เม.ย. 2553,211743,43,743,96,811 744,154 285
เมษายน เม.ย. 2553,959517,17,517,22,174 663,447 040
มีนาคม มี.ค. 2553,364222,22,222,97,619 996,229 756
มีนาคม มี.ค. 2553,215227,27,227,97,457 627,374 470
กุมภาพันธ์ ก.พ. 2553,133707,07,707,03,137 026,362 985
กุมภาพันธ์ ก.พ. 2553,186312,12,312,14,936 577,694 403
มกราคม ม.ค. 2553,073577,77,577,67,413 459,781 646
ธันวาคม ธ.ค. 2552,994304,04,304,87,993 337,419 598
ธันวาคม ธ.ค. 2552,685141,41,141,05,694 775,524 142
ธันวาคม ธ.ค. 2552,776980,80,980,59,937 188,412 252
พฤศจิกายน พ.ย. 2552,055986,86,986,58,299 952,072 536
พฤศจิกายน พ.ย. 2552,689140,40,140,85,366 923,642 465
ตุลาคม ต.ค. 2552,258487,87,487,00,174 135,226 122
ตุลาคม ต.ค. 2552,169387,87,387,06,249 435,714 255
กันยายน ก.ย. 2552,202912,12,912,48,200 353,539 166
กันยายน ก.ย. 2552,015865,65,865,32,435 447,446 924
สิงหาคม ส.ค. 2552,462933,33,933,96,843 292,577 658
สิงหาคม ส.ค. 2552,154986,86,986,92,688 239,421 374
กรกฎาคม ก.ค. 2552,000816,16,816,94,005 177,356 836
กรกฎาคม ก.ค. 2552,207542,42,542,66,233 107,799 385
มิถุนายน มิ.ย 2552,930456,56,456,15,125 044,954 179
มิถุนายน มิ.ย 2552,777661,61,661,26,242 097,240 642
พฤษภาคม พ.ค. 2552,111411,11,411,54,368 838,362 892
พฤษภาคม พ.ค. 2552,294452,52,452,11,222 549,947 301
เมษายน เม.ย. 2552,368415,15,415,33,954 179,007 570
เมษายน เม.ย. 2552,816578,78,578,50,572 363,113 044
มีนาคม มี.ค. 2552,268812,12,812,36,228 929,424 063
มีนาคม มี.ค. 2552,553091,91,091,67,224 238,665 295
กุมภาพันธ์ ก.พ. 2552,038730,30,730,93,961 939,115 434
กุมภาพันธ์ ก.พ. 2552,534533,33,533,69,660 777,015 427
มกราคม ม.ค. 2552,743212,12,212,25,266 800,842 885
ธันวาคม ธ.ค. 2551,218596,96,596,22,094 197,831 984
ธันวาคม ธ.ค. 2551,074114,14,114,25,305 715,803 959
ธันวาคม ธ.ค. 2551,205434,34,434,05,013 260,617 957
พฤศจิกายน พ.ย. 2551,002612,12,612,20,068 589,824 877
พฤศจิกายน พ.ย. 2551,272028,28,028,76,285 333,421 929
ตุลาคม ต.ค. 2551,431277,77,277,98,324 526,644 648
ตุลาคม ต.ค. 2551,882911,11,911,67,204 302,311 395
กันยายน ก.ย. 2551,012377,77,377,56,378 534,557 691
กันยายน ก.ย. 2551,695993,93,993,09,027 206,413 904
สิงหาคม ส.ค. 2551,380377,77,377,36,161 445,457 744
สิงหาคม ส.ค. 2551,850348,48,348,11,236 386,408 913
กรกฎาคม ก.ค. 2551,257374,74,374,41,344 401,486 576
กรกฎาคม ก.ค. 2551,943671,71,671,50,096 287,490 523
มิถุนายน มิ.ย 2551,729111,11,111,75,339 345,639 870
มิถุนายน มิ.ย 2551,414875,75,875,35,370 666,747 916
พฤษภาคม พ.ค. 2551,329231,31,231,69,193 120,355 214
พฤษภาคม พ.ค. 2551,453011,11,011,62,001 133,001 792
เมษายน เม.ย. 2551,982800,00,800,64,802 584,043 008
เมษายน เม.ย. 2551,012653,53,653,71,124 195,200 586
มีนาคม มี.ค. 2551,074946,46,946,33,077 974,085 158
มีนาคม มี.ค. 2551,936685,85,685,05,056 085,371 691
กุมภาพันธ์ ก.พ. 2551,137054,54,054,80,344 512,630 892
กุมภาพันธ์ ก.พ. 2551,212684,84,684,26,311 472,732 796
มกราคม ม.ค. 2551,556010,10,010,81,413 548,942 965
ธันวาคม ธ.ค. 2550,595411,11,411,81,267 490,741 787
ธันวาคม ธ.ค. 2550,513501,01,501,96,425 432,460 702
ธันวาคม ธ.ค. 2550,113410,10,410,18,418 485,627 659
พฤศจิกายน พ.ย. 2550,562481,81,481,73,130 198,752 844
พฤศจิกายน พ.ย. 2550,927907,07,907,88,213 277,524 648
ตุลาคม ต.ค. 2550,032988,88,988,48,158 663,685 846
ตุลาคม ต.ค. 2550,430667,67,667,76,090 104,126 667
